epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,475.774,0.76882,0.67171,1.06635,0.775,0.47093,0.50878,0.35505,1.49526,2.10254,1.66173,0.00036145,0.00036145,0.00036145
131,479.24,0.76061,0.66198,1.07777,0.83424,0.48769,0.50715,0.36359,1.4772,1.88971,1.65045,0.0003565,0.0003565,0.0003565
132,482.9,0.7468,0.64504,1.0565,0.83892,0.49702,0.52074,0.36506,1.47807,1.90288,1.63196,0.00035155,0.00035155,0.00035155
133,486.373,0.73765,0.64456,1.04973,0.83857,0.49194,0.52828,0.37102,1.51678,1.99109,1.69434,0.0003466,0.0003466,0.0003466
134,489.82,0.74098,0.67614,1.06828,0.84588,0.49822,0.52973,0.37611,1.49742,2.10497,1.72056,0.00034165,0.00034165,0.00034165
135,493.248,0.73579,0.63749,1.04559,0.88937,0.43841,0.51624,0.37708,1.53346,2.10456,1.73621,0.0003367,0.0003367,0.0003367
136,496.686,0.73324,0.62669,1.05227,0.86849,0.46979,0.52906,0.37725,1.52042,2.12327,1.73463,0.00033175,0.00033175,0.00033175
137,500.153,0.71907,0.60872,1.03774,0.84422,0.48586,0.52736,0.37827,1.48376,2.06103,1.69956,0.0003268,0.0003268,0.0003268
138,503.597,0.70069,0.61668,1.04182,0.87533,0.45795,0.51504,0.3674,1.49902,2.08125,1.70733,0.00032185,0.00032185,0.00032185
139,507.056,0.72671,0.63541,1.056,0.88116,0.50177,0.5355,0.37921,1.49129,2.0356,1.64878,0.0003169,0.0003169,0.0003169
140,510.558,0.73181,0.63362,1.05799,0.84232,0.49463,0.5422,0.39386,1.46622,1.91343,1.58589,0.00031195,0.00031195,0.00031195
141,514.259,0.71879,0.62113,1.0421,0.83843,0.50129,0.5429,0.39293,1.46356,1.87855,1.62637,0.000307,0.000307,0.000307
142,517.719,0.72484,0.59916,1.04321,0.87216,0.48357,0.53788,0.39037,1.46396,1.90359,1.66396,0.00030205,0.00030205,0.00030205
143,521.208,0.72901,0.6228,1.06182,0.87568,0.49463,0.54151,0.39318,1.42304,1.86492,1.59409,0.0002971,0.0002971,0.0002971
144,524.684,0.70293,0.61042,1.03279,0.85414,0.51356,0.54194,0.38761,1.45081,1.88871,1.59599,0.00029215,0.00029215,0.00029215
